Title,Price,Image,Color,Size,Short Description,Long Description,Type,SKU
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Blue,S,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Blue_S
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Blue,M,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Blue_M
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Blue,L,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Blue_L
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Blue,XL,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Blue_XL
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Blue,XXL,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Blue_XXL
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Red,S,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Red_S
Verament Fantastic Magliett,12,imgs-hottest-football-players.jpg,Red,S,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,Verament Fantastic Magliett_Red_S
bombMagliet,56,kitty jump.jpg,Yellow,S,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Yellow_S
bombMagliet,56,kitty jump.jpg,Yellow,M,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Yellow_M
bombMagliet,56,kitty jump.jpg,Yellow,XL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Yellow_XL
bombMagliet,56,kitty jump.jpg,Yellow,XXL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Yellow_XXL
bombMagliet,56,hoodies.jpg,Orange,S,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Orange_S
bombMagliet,56,hoodies.jpg,Orange,M,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Orange_M
bombMagliet,56,hoodies.jpg,Orange,XL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Orange_XL
bombMagliet,56,hoodies.jpg,Orange,XXL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,bombMagliet_Orange_XXL
diobonMagliett,56,kitty jump.jpg,Yellow,S,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Yellow_S
diobonMagliett,56,kitty jump.jpg,Yellow,M,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Yellow_M
diobonMagliett,56,kitty jump.jpg,Yellow,XL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Yellow_XL
diobonMagliett,56,kitty jump.jpg,Yellow,XXL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Yellow_XXL
diobonMagliett,56,hoodies.jpg,Orange,S,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Orange_S
diobonMagliett,56,hoodies.jpg,Orange,M,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Orange_M
diobonMagliett,56,hoodies.jpg,Orange,XL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Orange_XL
diobonMagliett,56,hoodies.jpg,Orange,XXL,Maronn kebbell!,"Quest bellisss compr du, compr tr, compr tutt famiggh!",T-shirt,diobonMagliett_Orange_XXL
maroonKeMagliett,12,imgs-hottest-football-players.jpg,Blue,S,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,maroonKeMagliett_Blue_S
maroonKeMagliett,12,imgs-hottest-football-players.jpg,Blue,M,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,maroonKeMagliett_Blue_M
maroonKeMagliett,12,imgs-hottest-football-players.jpg,Blue,L,"small shirt, see chebbell?","Small shirt, definitely very bell, see? Compr!",T-shirt,maroonKeMagliett_Blue_L
